fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B12_S120_L001_R2_001.fastq.gz	HD01_02_B12_S120_L001_R2_001	HD01	1	HD01_02_B12	02	B12	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B12_S120_L002_R1_001.fastq.gz	HD01_02_B12_S120_L002_R1_001	HD01	1	HD01_02_B12	02	B12	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B12_S120_L002_R2_001.fastq.gz	HD01_02_B12_S120_L002_R2_001	HD01	1	HD01_02_B12	02	B12	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C01_S25_L001_R1_001.fastq.gz	HD01_02_C01_S25_L001_R1_001	HD01	1	HD01_02_C01	02	C01	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C01_S25_L001_R2_001.fastq.gz	HD01_02_C01_S25_L001_R2_001	HD01	1	HD01_02_C01	02	C01	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C01_S25_L002_R1_001.fastq.gz	HD01_02_C01_S25_L002_R1_001	HD01	1	HD01_02_C01	02	C01	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C01_S25_L002_R2_001.fastq.gz	HD01_02_C01_S25_L002_R2_001	HD01	1	HD01_02_C01	02	C01	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C02_S122_L001_R1_001.fastq.gz	HD01_02_C02_S122_L001_R1_001	HD01	1	HD01_02_C02	02	C02	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C02_S122_L001_R2_001.fastq.gz	HD01_02_C02_S122_L001_R2_001	HD01	1	HD01_02_C02	02	C02	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C02_S122_L002_R1_001.fastq.gz	HD01_02_C02_S122_L002_R1_001	HD01	1	HD01_02_C02	02	C02	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C02_S122_L002_R2_001.fastq.gz	HD01_02_C02_S122_L002_R2_001	HD01	1	HD01_02_C02	02	C02	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C03_S27_L001_R1_001.fastq.gz	HD01_02_C03_S27_L001_R1_001	HD01	1	HD01_02_C03	02	C03	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C03_S27_L001_R2_001.fastq.gz	HD01_02_C03_S27_L001_R2_001	HD01	1	HD01_02_C03	02	C03	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C03_S27_L002_R1_001.fastq.gz	HD01_02_C03_S27_L002_R1_001	HD01	1	HD01_02_C03	02	C03	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C03_S27_L002_R2_001.fastq.gz	HD01_02_C03_S27_L002_R2_001	HD01	1	HD01_02_C03	02	C03	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C04_S124_L001_R1_001.fastq.gz	HD01_02_C04_S124_L001_R1_001	HD01	1	HD01_02_C04	02	C04	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C04_S124_L001_R2_001.fastq.gz	HD01_02_C04_S124_L001_R2_001	HD01	1	HD01_02_C04	02	C04	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C04_S124_L002_R1_001.fastq.gz	HD01_02_C04_S124_L002_R1_001	HD01	1	HD01_02_C04	02	C04	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C04_S124_L002_R2_001.fastq.gz	HD01_02_C04_S124_L002_R2_001	HD01	1	HD01_02_C04	02	C04	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C05_S29_L001_R1_001.fastq.gz	HD01_02_C05_S29_L001_R1_001	HD01	1	HD01_02_C05	02	C05	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C05_S29_L001_R2_001.fastq.gz	HD01_02_C05_S29_L001_R2_001	HD01	1	HD01_02_C05	02	C05	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_C05_S29_L002_R1_001.fastq.gz	HD01_02_C05_S29_L002_R1_001	HD01	1	HD01_02_C05	02	C05	L002	R1	FALSE
